security,ts_code,symbol,name,cnspell,market,list_date
000001.XSHE,000001.SZ,000001,平安银行,PAYH,主板,19910403
000002.XSHE,000002.SZ,000002,万  科Ａ,WKＡ,主板,19910129
000004.XSHE,000004.SZ,000004,*ST国华,STGH,主板,19901201
000006.XSHE,000006.SZ,000006,深振业Ａ,SZYＡ,主板,19920427
000007.XSHE,000007.SZ,000007,全新好,QXH,主板,19920413
000008.XSHE,000008.SZ,000008,神州高铁,SZGT,主板,19920507
000009.XSHE,000009.SZ,000009,中国宝安,ZGBA,主板,19910625
000010.XSHE,000010.SZ,000010,*ST美丽,STML,主板,19951027
000011.XSHE,000011.SZ,000011,深物业A,SWYA,主板,19920330
000012.XSHE,000012.SZ,000012,南  玻Ａ,NBＡ,主板,19920228
000014.XSHE,000014.SZ,000014,沙河股份,SHGF,主板,19920602
000016.XSHE,000016.SZ,000016,*ST康佳A,STKJA,主板,19920327
000017.XSHE,000017.SZ,000017,深中华A,SZHA,主板,19920331
000019.XSHE,000019.SZ,000019,深粮控股,SLKG,主板,19921012
000020.XSHE,000020.SZ,000020,深华发Ａ,SHFＡ,主板,19920428
000021.XSHE,000021.SZ,000021,深科技,SKJ,主板,19940202
000025.XSHE,000025.SZ,000025,特  力Ａ,TLＡ,主板,19930621
000026.XSHE,000026.SZ,000026,飞亚达,FYD,主板,19930603
000027.XSHE,000027.SZ,000027,深圳能源,SZNY,主板,19930903
000028.XSHE,000028.SZ,000028,国药一致,GYYZ,主板,19930809
000029.XSHE,000029.SZ,000029,深深房Ａ,SSFＡ,主板,19930915
000030.XSHE,000030.SZ,000030,富奥股份,FAGF,主板,19930929
000031.XSHE,000031.SZ,000031,大悦城,DYC,主板,19931008
000032.XSHE,000032.SZ,000032,深桑达Ａ,SSDＡ,主板,19931028
000034.XSHE,000034.SZ,000034,神州数码,SZSM,主板,19940509
000035.XSHE,000035.SZ,000035,中国天楹,ZGTY,主板,19940408
000036.XSHE,000036.SZ,000036,华联控股,HLKG,主板,19940617
000037.XSHE,000037.SZ,000037,深南电A,SNDA,主板,19940701
000039.XSHE,000039.SZ,000039,中集集团,ZJJT,主板,19940408
000042.XSHE,000042.SZ,000042,中洲控股,ZZKG,主板,19940921
000045.XSHE,000045.SZ,000045,深纺织Ａ,SFZＡ,主板,19940815
000048.XSHE,000048.SZ,000048,京基智农,JJZN,主板,19941101
000049.XSHE,000049.SZ,000049,德赛电池,DSDC,主板,19950320
000050.XSHE,000050.SZ,000050,深天马Ａ,STMＡ,主板,19950315
000055.XSHE,000055.SZ,000055,方大集团,FDJT,主板,19960415
000056.XSHE,000056.SZ,000056,*ST皇庭,STHT,主板,19960708
000058.XSHE,000058.SZ,000058,深 赛 格,SSG,主板,19961226
000059.XSHE,000059.SZ,000059,华锦股份,HJGF,主板,19970130
000060.XSHE,000060.SZ,000060,中金岭南,ZJLN,主板,19970123
000061.XSHE,000061.SZ,000061,农 产 品,NCP,主板,19970110
000062.XSHE,000062.SZ,000062,深圳华强,SZHQ,主板,19970130
000063.XSHE,000063.SZ,000063,中兴通讯,ZXTX,主板,19971118
000065.XSHE,000065.SZ,000065,北方国际,BFGJ,主板,19980605
000066.XSHE,000066.SZ,000066,中国长城,ZGCC,主板,19970626
